PointOfSale;Product;Date;Stock
121017;17240503103734;2019-08-13;1
121017;17240503103734;2019-08-14;1
121017;17240503103734;2019-08-15;1
121017;17240503103734;2019-08-16;1
121017;17240503103738;2019-08-17;1
121017;17240503103738;2019-08-18;1
121017;17240503103738;2019-08-19;1
121017;17240503103738;2019-08-20;1
121017;17240503103738;2019-08-21;1
121017;17240503103738;2019-08-22;1
121017;17240503103738;2019-07-27;1
121017;17240503103738;2019-07-28;1
121017;17240503103738;2019-07-29;1
121017;17240503103738;2019-07-30;1
121017;17240503103738;2019-07-31;1
121017;17240503103738;2019-08-01;1
121017;17240503103738;2019-08-02;1
121017;17240503103738;2019-08-03;1
121017;17240503103738;2019-08-04;1
121017;17240503103738;2019-08-05;1
121017;17240503103738;2019-08-06;1
121017;17240503103738;2019-08-07;1
121017;17240503103738;2019-08-08;1
121017;17240503103738;2019-08-09;1
121017;17240503103738;2019-08-10;1
121017;17240503103738;2019-08-11;1
121017;17240503103738;2019-08-12;1
121017;17240503103738;2019-08-13;1
121017;17240503103738;2019-08-14;1
121017;17240503103738;2019-08-15;1
-------------------------------------------------------------3646364%%#"!"
121017;17240503200794;2019-07-03;2
121017;17240503200794;2019-08-17;4
121017;17240503200794;2019-08-18;4
121017;17240503200794;2019-08-19;4
121017;17240503200794;2019-08-20;4
121017;17240503200794;2019-08-21;4
121017;17240503200794;2019-08-22;4
121017;17240503200794;2019-07-27;4
121017;17240503200794;2019-07-28;4
121017;17240503200794;2019-07-29;4
121017;17240503200794;2019-07-30;4
121017;17240503200794;2019-07-31;4
121017;17240503200794;2019-08-01;4
121017;17240503200794;2019-08-02;4
121017;17240503200794;2019-08-03;4
121017;17240503200794;2019-08-04;4
121017;17240503200794;2019-08-05;4
121017;17240503200794;2019-08-06;4
121017;17240503200794;2019-08-07;4
121017;17240503200794;2019-08-08;4
121017;17240503200794;2019-08-09;4
121017;17240503200794;2019-08-10;4
121017;17240503200794;2019-08-11;4
121017;17240503200794;2019-08-12;4
121017;17240503200794;2019-08-13;4
121017;17240503200794;2019-08-14;4
121017;17240503200794;2019-08-15;4
121017;17240503200794;2019-08-16;4
121017;17240503200794;2019-07-23;4
121017;17240503200794;2019-07-24;4
121017;17240503200794;2019-07-25;4
121017;17240503200794;2019-07-26;4
121017;17240503200794;2019-06-28;2
121017;17240503200794;2019-06-29;2
121017;17240503200794;2019-06-30;2
121017;17240503200794;2019-07-01;2
121017;17240503200794;2019-07-02;2
121017;17240503200794;2019-07-04;2
121017;17240503200794;2019-07-05;2
121017;17240503200794;2019-07-06;2
121017;17240503200794;2019-07-07;2
121017;17240503200794;2019-07-08;2
121017;17240503200794;2019-07-09;2
121017;17240503200794;2019-07-10;2
121017;17240503200794;2019-07-11;2
121017;17240503200794;2019-07-12;2
121017;17240503200794;2019-07-13;2
121017;17240503200794;2019-07-14;2
121017;17240503200794;2019-07-15;2
121017;17240503200794;2019-07-16;2
121017;17240503200794;2019-07-17;2
121017;17240503200794;2019-07-18;2
121017;17240503200794;2019-07-19;2
121017;17240503200794;2019-07-20;2
121017;17240503200794;2019-07-21;2
121017;17240503200794;2019-07-22;2
121017;17240503200794;2019-06-01;1
121017;17240503200794;2019-06-02;1
121017;17240503200794;2019-06-03;1
121017;17240503200794;2019-06-04;1
121017;17240503200794;2019-06-05;1
121017;17240503200794;2019-06-06;1
121017;17240503200794;2019-06-07;1
121017;17240503200794;2019-06-08;1
121017;17240503200794;2019-06-09;1
121017;17240503200794;2019-06-10;1
121017;17240503200794;2019-06-11;1
121017;17240503200794;2019-06-12;1
121017;17240503200794;2019-06-13;1
121017;17240503200794;2019-06-14;1
121017;17240503200794;2019-06-15;1
121017;17240503200794;2019-06-16;1
121017;17240503200794;2019-06-17;1
121017;17240503200794;2019-06-18;1
121017;17240503200794;2019-06-19;1
121017;17240503200794;2019-06-20;1
121017;17240503200794;2019-06-21;1
121017;17240503200794;2019-06-22;1
121017;17240503200794;2019-06-23;1
121017;17240503200794;2019-06-24;1
121017;17240503200794;2019-06-25;1
121017;17240503200794;2019-06-26;1
121017;17240503200794;2019-06-27;1
121017;17240503200796;2019-07-03;3
121017;17240503200796;2019-08-17;4
121017;17240503200796;2019-08-18;4
121017;17240503200796;2019-08-19;4
121017;17240503200796;2019-08-20;4
121017;17240503200796;2019-08-21;4
